Name,latitude,longitude,Phylum
Insecta,27.608,83.7426,Arthropoda
Insecta,27.608,83.7426,Arthropoda
Insecta,27.5942,83.7124,Arthropoda
Insecta,27.5942,83.7124,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,28.2197,83.9705,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Magnoliopsida,27.5996,83.7273,Arthropoda
Magnoliopsida,27.5996,83.7273,Magnoliophyta
Liliopsida,27.503,87.464,Magnoliophyta
Reptilia,27.458,87.46,Magnoliophyta
Magnoliopsida,29.3846,83.0828,Chordata
Insecta,29.3846,83.0828,Magnoliophyta
Trematoda,29.3846,83.0828,Arthropoda
Actinopterygii,29.3846,83.0828,Platyhelminthes
Insecta,28.976,81.4208,Chordata
Insecta,29.9394,80.9056,Arthropoda
Gastropoda,29.9394,80.9056,Arthropoda
Agaricomycetes,28.066,81.7039,Mollusca
Magnoliopsida,28.47,83.48,Basidiomycota
Insecta,28.47,83.48,Magnoliophyta
Insecta,27.71,85.31,Arthropoda
Insecta,27.71,85.31,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,27.5259,85.4131,Arthropoda
Insecta,27.5259,85.4131,Arthropoda
Insecta,27.5259,85.4131,Arthropoda
Insecta,27.5259,85.4131,Arthropoda
Insecta,27.9667,85,Arthropoda
Insecta,28.35,83.7,Arthropoda
Magnoliopsida,28.35,83.7,Arthropoda
Jungermanniopsida,28.35,83.7,Magnoliophyta
Magnoliopsida,28.35,83.7,Marchantiophyta
Magnoliopsida,28.35,83.7,Magnoliophyta
Jungermanniopsida,28.35,83.7,Magnoliophyta
Insecta,28.35,83.7,Marchantiophyta
Oomycota,28.1167,85.35,Arthropoda
Insecta,28.1167,85.35,Heterokontophyta
Insecta,27.21,87.37,Arthropoda
Insecta,29,82.4,Arthropoda
Insecta,29,82.4,Arthropoda
Insecta,27.05,87.467,Arthropoda
Insecta,28.25,84.0167,Arthropoda
Insecta,27.12,87.27,Arthropoda
Insecta,27.12,87.27,Arthropoda
Insecta,27.12,87.27,Arthropoda
Mammalia,28.1567,85.2385,Arthropoda
Insecta,28.383,83.733,Chordata
Insecta,28.75,83.75,Arthropoda
Insecta,27.6,85.4,Arthropoda
Insecta,27.6,85.4,Arthropoda
Insecta,27.7897,86.7249,Arthropoda
Insecta,28.767,83.767,Arthropoda
Insecta,27.78,87.12,Arthropoda
Insecta,27.58,85,Arthropoda
Insecta,27.58,85,Arthropoda
Insecta,28.15,81.78,Arthropoda
Chromadorea,27.5909,83.7209,Arthropoda
Insecta,27.628,85.276,Nematoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.9479,84.3943,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Magnoliopsida,27.5996,83.7273,Arthropoda
Magnoliopsida,27.497,87.467,Magnoliophyta
Liliopsida,27.487,87.464,Magnoliophyta
Magnoliopsida,27.328,87.494,Magnoliophyta
Agaricomycetes,27.503,87.456,Magnoliophyta
Malacostraca,27.503,87.456,Basidiomycota
Mammalia,28.927,83.507,Arthropoda
Mammalia,28.927,83.507,Chordata
Aves,28.927,83.507,Chordata
Magnoliopsida,28.927,83.507,Chordata
Bivalvia,28.927,83.507,Magnoliophyta
Insecta,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Arthropoda
Gastropoda,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Mollusca
Insecta,28.9639,80.1867,Mollusca
Actinopterygii,28.9639,80.1867,Arthropoda
Actinopterygii,28.9639,80.1867,Chordata
Actinopterygii,28.9639,80.1867,Chordata
Actinopterygii,28.9777,81.581,Chordata
Chromadorea,29.0403,81.44,Chordata
Insecta,27.628,85.276,Nematoda
Insecta,27.628,85.276,Arthropoda
Insecta,27.628,85.276,Arthropoda
Cestoda,27.628,85.276,Arthropoda
Magnoliopsida,27.628,85.276,Platyhelminthes
Jungermanniopsida,27.628,85.276,Magnoliophyta
Magnoliopsida,27.628,85.276,Marchantiophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
Insecta,27.628,85.276,Magnoliophyta
Insecta,27.6,85.4,Arthropoda
